brand,model,type,price Grade A,price Grade B,price Grade C
AQUA,Non- Inverter,1 Pintu,"400.000,00","300.000,00","200.000,00"
AQUA,Non- Inverter,2 Pintu,"600.000,00","400.000,00","300.000,00"
AQUA,Inverter,1 Pintu,"250.000,00","200.000,00","150.000,00"
AQUA,Inverter,2 Pintu,"300.000,00","250.000,00","200.000,00"
ELECTROLUX,Non- Inverter,1 Pintu,"400.000,00","300.000,00","200.000,00"
ELECTROLUX,Non- Inverter,2 Pintu,"600.000,00","400.000,00","300.000,00"
ELECTROLUX,Inverter,1 Pintu,"250.000,00","200.000,00","150.000,00"
ELECTROLUX,Inverter,2 Pintu,"300.000,00","250.000,00","200.000,00"
SHARP,Non- Inverter,1 Pintu,"400.000,00","300.000,00","200.000,00"
SHARP,Non- Inverter,2 Pintu,"600.000,00","400.000,00","300.000,00"
SHARP,Inverter,1 Pintu,"250.000,00","200.000,00","150.000,00"
SHARP,Inverter,2 Pintu,"300.000,00","250.000,00","200.000,00"
SAMSUNG,Non- Inverter,1 Pintu,"400.000,00","300.000,00","200.000,00"
SAMSUNG,Non- Inverter,2 Pintu,"600.000,00","400.000,00","300.000,00"
SAMSUNG,Inverter,1 Pintu,"250.000,00","200.000,00","150.000,00"
SAMSUNG,Inverter,2 Pintu,"300.000,00","250.000,00","200.000,00"
LG,Non- Inverter,1 Pintu,"400.000,00","300.000,00","200.000,00"
LG,Non- Inverter,2 Pintu,"600.000,00","400.000,00","300.000,00"
LG,Inverter,1 Pintu,"250.000,00","200.000,00","150.000,00"
LG,Inverter,2 Pintu,"300.000,00","250.000,00","200.000,00"
TOSHIBA,Non- Inverter,1 Pintu,"400.000,00","300.000,00","200.000,00"
TOSHIBA,Non- Inverter,2 Pintu,"600.000,00","400.000,00","300.000,00"
TOSHIBA,Inverter,1 Pintu,"250.000,00","200.000,00","150.000,00"
TOSHIBA,Inverter,2 Pintu,"300.000,00","250.000,00","200.000,00"
PANASONIC,Non- Inverter,1 Pintu,"400.000,00","300.000,00","200.000,00"
PANASONIC,Non- Inverter,2 Pintu,"600.000,00","400.000,00","300.000,00"
PANASONIC,Inverter,1 Pintu,"250.000,00","200.000,00","150.000,00"
PANASONIC,Inverter,2 Pintu,"300.000,00","250.000,00","200.000,00"
MODENA,Non- Inverter,1 Pintu,"400.000,00","300.000,00","200.000,00"
MODENA,Non- Inverter,2 Pintu,"600.000,00","400.000,00","300.000,00"
MODENA,Inverter,1 Pintu,"250.000,00","200.000,00","150.000,00"
MODENA,Inverter,2 Pintu,"300.000,00","250.000,00","200.000,00"
SANKEN,Non- Inverter,1 Pintu,"400.000,00","300.000,00","200.000,00"
SANKEN,Non- Inverter,2 Pintu,"600.000,00","400.000,00","300.000,00"
SANKEN,Inverter,1 Pintu,"250.000,00","200.000,00","150.000,00"
SANKEN,Inverter,2 Pintu,"300.000,00","250.000,00","200.000,00"
POLYTRON,Non- Inverter,1 Pintu,"400.000,00","300.000,00","200.000,00"
POLYTRON,Non- Inverter,2 Pintu,"600.000,00","400.000,00","300.000,00"
POLYTRON,Inverter,1 Pintu,"250.000,00","200.000,00","150.000,00"
POLYTRON,Inverter,2 Pintu,"300.000,00","250.000,00","200.000,00"
