Brand,Ram,Jenis_Storage,Storages,Processor,Operating_System,ukuran_laptop,PriceGradeA,PriceGradeB,PriceGradeC
ASUS,4GB,SATA,750GB,Intel Core i3,Windows 7,"13"" - 14''",900000,750000,550000
ASUS,4GB,SATA,500GB,Intel Core i3,Windows 10,"13"" - 14''",1800000,1600000,1250000
ASUS,4GB,SATA,500GB,Intel Celeron N3060,Windows,"13"" - 14''",900000,700000,500000
ASUS,4GB,SATA,500GB,Intel Core i3,Windows,"13"" - 14''",700000,500000,350000
ASUS,4GB,SATA,1TB,Intel Core i7,Windows,"13"" - 14''",900000,700000,500000
ASUS,4GB,HDD,1TB,Intel Core i5,Windows 10,"13"" - 14''",2300000,2000000,1800000
ASUS,8GB,HDD,1TB,Intel Core i7,Windows 10,"13"" - 14''",3000000,2700000,2250000
ASUS,8GB,HDD,1TB,Intel Core i7,Windows 10,"15""",5000000,4100000,3300000
ASUS,4GB,-,1TB,Intel celeron N4000,Windows 10,"13"" - 14''",1800000,1650000,1450000
ASUS,8GB,SSD,512GB,Intel Core i5,Windows 10,"13"" - 14''",4500000,3600000,3000000
ASUS,2GB,HDD,320GB,Intel Core i5,windows 7,"13"" - 14''",900000,700000,500000
ASUS,4GB,HDD,500GB,Intel Core i5,Windows 10,"13"" - 14''",1100000,900000,700000
ASUS,8GB,SSD,512GB,Intel Core i7,windows 10,"13"" - 14''",5000000,4400000,3500000
ASUS,4GB,HDD,1TB,Intel Core i5/i7,windows 10,"13"" - 14''",4000000,3500000,3000000
ASUS,4GB,SSD,512GB,Intel Core i5,windows 10,"13"" - 14''",4000000,3450000,2750000
ASUS,8GB,HDD,1TB,Intel Core i7,Windows 10,"13"" - 14''",1800000,1600000,1250000
ASUS,2GB,HDD,500GB,Intel Core i5,Windows 10,"13"" - 14''",1400000,1100000,900000
Lenovo,4GB,HDD,500GB,Intel Core i3,windows 10,"13"" - 14''",1800000,1600000,1450000
Lenovo,16GB,-,1TB,-,Windows 10,"13"" - 14''",1300000,1050000,850000
