jenis playstation,type,storages,price Grade A,price Grade B,price Grade C
Sony Playstation 3 slim,PS3 (Slim),120GB,550000,450000,350000
Sony Playstation 3 slim,PS3 (Slim),160GB,700000,600000,400000
Sony Playstation 3 slim,PS3 (Slim),250GB,800000,600000,500000
Sony Playstation 3 slim,PS3 (Slim),320GB,1000000,800000,600000
Sony Playstation 3 slim,PS3 (Slim),500GB,1100000,900000,700000
Sony Playstation 3 super slim,PS3 (Super Slim),320GB,1000000,800000,600000
Sony Playstation 4,PS4 (Fat),500GB,900000,700000,500000
Sony Playstation 4,PS4 (Fat),1TB,1100000,1000000,700000
Sony Playstation 4 slim,PS4 (Slim),500GB,1600000,1400000,1200000
Sony Playstation 4 slim,PS4 (Slim),1TB,2000000,1800000,1600000
Sony Playstation 4 Pro,PS4 (Pro),1TB,2200000,2000000,1800000
