Brand,Type,priceGradeA,priceGradeB,priceGradeC
AQUA,Front Loading,"1.100.000,00","900.000,00","700.000,00"
AQUA,Upper Loading,"350.000,00","250.000,00","150.000,00"
ELECTROLUX,Front Loading,"1.100.000,00","900.000,00","700.000,00"
ELECTROLUX,Upper Loading,"350.000,00","250.000,00","150.000,00"
SHARP,Front Loading,"1.100.000,00","900.000,00","700.000,00"
SHARP,Upper Loading,"350.000,00","250.000,00","150.000,00"
SAMSUNG,Front Loading,"1.100.000,00","900.000,00","700.000,00"
SAMSUNG,Upper Loading,"350.000,00","250.000,00","150.000,00"
LG,Front Loading,"1.100.000,00","900.000,00","700.000,00"
LG,Upper Loading,"350.000,00","250.000,00","150.000,00"
TOSHIBA,Front Loading,"1.100.000,00","900.000,00","700.000,00"
TOSHIBA,Upper Loading,"350.000,00","250.000,00","150.000,00"
PANASONIC,Front Loading,"1.100.000,00","900.000,00","700.000,00"
PANASONIC,Upper Loading,"350.000,00","250.000,00","150.000,00"
MODENA,Front Loading,"1.100.000,00","900.000,00","700.000,00"
MODENA,Upper Loading,"350.000,00","250.000,00","150.000,00"
SANKEN,Front Loading,"1.100.000,00","900.000,00","700.000,00"
SANKEN,Upper Loading,"350.000,00","250.000,00","150.000,00"
POLYTRON,Front Loading,"1.100.000,00","900.000,00","700.000,00"
POLYTRON,Upper Loading,"350.000,00","250.000,00","150.000,00"
