Brand,Type,priceGradeA,priceGradeB,priceGradeC,priceGradeD,priceGradeE
AQUA,Front Loading,"Rp  1,100,000","Rp900,000","Rp700,000","Rp200,000","Rp50,000"
AQUA,Upper Loading,"Rp350,000","Rp250,000","Rp150,000","Rp100,000","Rp50,000"
ELECTROLUX,Front Loading,"Rp  1,100,000","Rp900,000","Rp700,000","Rp200,000","Rp50,000"
ELECTROLUX,Upper Loading,"Rp350,000","Rp250,000","Rp150,000","Rp100,000","Rp50,000"
SHARP,Front Loading,"Rp  1,100,000","Rp900,000","Rp700,000","Rp200,000","Rp50,000"
SHARP,Upper Loading,"Rp350,000","Rp250,000","Rp150,000","Rp100,000","Rp50,000"
SAMSUNG,Front Loading,"Rp  1,100,000","Rp900,000","Rp700,000","Rp200,000","Rp50,000"
SAMSUNG,Upper Loading,"Rp350,000","Rp250,000","Rp150,000","Rp100,000","Rp50,000"
LG,Front Loading,"Rp  1,100,000","Rp900,000","Rp700,000","Rp200,000","Rp50,000"
LG,Upper Loading,"Rp350,000","Rp250,000","Rp150,000","Rp100,000","Rp50,000"
TOSHIBA,Front Loading,"Rp  1,100,000","Rp900,000","Rp700,000","Rp200,000","Rp50,000"
TOSHIBA,Upper Loading,"Rp350,000","Rp250,000","Rp150,000","Rp100,000","Rp50,000"
PANASONIC,Front Loading,"Rp  1,100,000","Rp900,000","Rp700,000","Rp200,000","Rp50,000"
PANASONIC,Upper Loading,"Rp350,000","Rp250,000","Rp150,000","Rp100,000","Rp50,000"
MODENA,Front Loading,"Rp  1,100,000","Rp900,000","Rp700,000","Rp200,000","Rp50,000"
MODENA,Upper Loading,"Rp350,000","Rp250,000","Rp150,000","Rp100,000","Rp50,000"
SANKEN,Front Loading,"Rp  1,100,000","Rp900,000","Rp700,000","Rp200,000","Rp50,000"
SANKEN,Upper Loading,"Rp350,000","Rp250,000","Rp150,000","Rp100,000","Rp50,000"
POLYTRON,Front Loading,"Rp  1,100,000","Rp900,000","Rp700,000","Rp200,000","Rp50,000"
POLYTRON,Upper Loading,"Rp350,000","Rp250,000","Rp150,000","Rp100,000","Rp50,000"
