brand,model,type,price Grade A,price Grade B,price Grade C
AQUA,Non- Inverter,1 Pintu,400000,300000,200000
AQUA,Non- Inverter,2 Pintu,600000,400000,300000
AQUA,Inverter,1 Pintu,250000,200000,150000
AQUA,Inverter,2 Pintu,300000,250000,200000
ELECTROLUX,Non- Inverter,1 Pintu,400000,300000,200000
ELECTROLUX,Non- Inverter,2 Pintu,600000,400000,300000
ELECTROLUX,Inverter,1 Pintu,250000,200000,150000
ELECTROLUX,Inverter,2 Pintu,300000,250000,200000
SHARP,Non- Inverter,1 Pintu,400000,300000,200000
SHARP,Non- Inverter,2 Pintu,600000,400000,300000
SHARP,Inverter,1 Pintu,250000,200000,150000
SHARP,Inverter,2 Pintu,300000,250000,200000
SAMSUNG,Non- Inverter,1 Pintu,400000,300000,200000
SAMSUNG,Non- Inverter,2 Pintu,600000,400000,300000
SAMSUNG,Inverter,1 Pintu,250000,200000,150000
SAMSUNG,Inverter,2 Pintu,300000,250000,200000
LG,Non- Inverter,1 Pintu,400000,300000,200000
LG,Non- Inverter,2 Pintu,600000,400000,300000
LG,Inverter,1 Pintu,250000,200000,150000
LG,Inverter,2 Pintu,300000,250000,200000
TOSHIBA,Non- Inverter,1 Pintu,400000,300000,200000
TOSHIBA,Non- Inverter,2 Pintu,600000,400000,300000
TOSHIBA,Inverter,1 Pintu,250000,200000,150000
TOSHIBA,Inverter,2 Pintu,300000,250000,200000
PANASONIC,Non- Inverter,1 Pintu,400000,300000,200000
PANASONIC,Non- Inverter,2 Pintu,600000,400000,300000
PANASONIC,Inverter,1 Pintu,250000,200000,150000
PANASONIC,Inverter,2 Pintu,300000,250000,200000
MODENA,Non- Inverter,1 Pintu,400000,300000,200000
MODENA,Non- Inverter,2 Pintu,600000,400000,300000
MODENA,Inverter,1 Pintu,250000,200000,150000
MODENA,Inverter,2 Pintu,300000,250000,200000
SANKEN,Non- Inverter,1 Pintu,400000,300000,200000
SANKEN,Non- Inverter,2 Pintu,600000,400000,300000
SANKEN,Inverter,1 Pintu,250000,200000,150000
SANKEN,Inverter,2 Pintu,300000,250000,200000
POLYTRON,Non- Inverter,1 Pintu,400000,300000,200000
POLYTRON,Non- Inverter,2 Pintu,600000,400000,300000
POLYTRON,Inverter,1 Pintu,250000,200000,150000
POLYTRON,Inverter,2 Pintu,300000,250000,200000
