brand,jenis tv,inch,price Grade A,price Grade B,price Grade C
Samsung,LED,"32"" inch",750000,650000,550000
Samsung,LED,"40"" inch",950000,800000,700000
Samsung,LED,"42"" inch",1350000,1150000,1000000
Samsung,LED,"55"" inch",2150000,1850000,1550000
Samsung,Smart TV,"32"" inch",950000,800000,700000
Samsung,Smart TV,"40"" inch",1150000,1050000,900000
Samsung,Smart TV,"42"" inch",1550000,1300000,1100000
Samsung,Smart TV,"55"" inch",2350000,2000000,1700000
LG,LED,"32"" inch",750000,650000,550000
LG,LED,"40"" inch",950000,800000,700000
LG,LED,"42"" inch",1350000,1150000,1000000
LG,LED,"55"" inch",2150000,1850000,1550000
LG,Smart TV,"32"" inch",950000,800000,700000
LG,Smart TV,"40"" inch",1150000,1050000,900000
LG,Smart TV,"42"" inch",1550000,1300000,1100000
LG,Smart TV,"55"" inch",2200000,1850000,1550000
Sony,LED,"32"" inch",750000,650000,550000
Sony,LED,"40"" inch",950000,800000,700000
Sony,LED,"42"" inch",1350000,1150000,1000000
Sony,LED,"55"" inch",2150000,1850000,1550000
Sony,Smart TV,"32"" inch",950000,800000,700000
Sony,Smart TV,"40"" inch",1150000,1050000,900000
Sony,Smart TV,"42"" inch",1550000,1300000,1100000
Sony,Smart TV,"55"" inch",2200000,1850000,1550000
Panasonic,LED,"32"" inch",750000,650000,550000
Panasonic,LED,"40"" inch",950000,800000,700000
Panasonic,LED,"42"" inch",1350000,1150000,1000000
Panasonic,LED,"55"" inch",2150000,1850000,1550000
Panasonic,Smart TV,"32"" inch",950000,800000,700000
Panasonic,Smart TV,"40"" inch",1150000,1050000,900000
Panasonic,Smart TV,"42"" inch",1550000,1300000,1100000
Panasonic,Smart TV,"55"" inch",2200000,1850000,1550000
Sharp,LED,"32"" inch",750000,650000,550000
Sharp,LED,"40"" inch",950000,800000,700000
Sharp,LED,"42"" inch",1350000,1150000,1000000
Sharp,LED,"55"" inch",2150000,1850000,1550000
Sharp,Smart TV,"32"" inch",950000,800000,700000
Sharp,Smart TV,"40"" inch",1150000,1050000,900000
Sharp,Smart TV,"42"" inch",1550000,1300000,1100000
Sharp,Smart TV,"55"" inch",2200000,1850000,1550000
Toshiba,LED,"32"" inch",750000,650000,550000
Toshiba,LED,"40"" inch",950000,800000,700000
Toshiba,LED,"42"" inch",1350000,1150000,1000000
Toshiba,LED,"55"" inch",2150000,1850000,1550000
Toshiba,Smart TV,"32"" inch",950000,800000,700000
Toshiba,Smart TV,"40"" inch",1150000,1050000,900000
