Brand,JenisMesinCuci,priceGradeA,priceGradeB,priceGradeC
AQUA,Front Loading 1 Tabung,Rp 1.100.000,Rp 900.000,Rp 700.000
AQUA,Upper Loading 1 Tabung,Rp 350.000,Rp 250.000,Rp 150.000
ELECTROLUX,Front Loading 1 Tabung,Rp 1.100.000,Rp 900.000,Rp 700.000
ELECTROLUX,Upper Loading 1 Tabung,Rp 350.000,Rp 250.000,Rp 150.000
SHARP,Front Loading 1 Tabung,Rp 1.100.000,Rp 900.000,Rp 700.000
SHARP,Upper Loading 1 Tabung,Rp 350.000,Rp 250.000,Rp 150.000
SAMSUNG,Front Loading 1 Tabung,Rp 1.100.000,Rp 900.000,Rp 700.000
SAMSUNG,Upper Loading 1 Tabung,Rp 350.000,Rp 250.000,Rp 150.000
LG,Front Loading 1 Tabung,Rp 1.100.000,Rp 900.000,Rp 700.000
LG,Upper Loading 1 Tabung,Rp 350.000,Rp 250.000,Rp 150.000
TOSHIBA,Front Loading 1 Tabung,Rp 1.100.000,Rp 900.000,Rp 700.000
TOSHIBA,Upper Loading 1 Tabung,Rp 350.000,Rp 250.000,Rp 150.000
PANASONIC,Front Loading 1 Tabung,Rp 1.100.000,Rp 900.000,Rp 700.000
PANASONIC,Upper Loading 1 Tabung,Rp 350.000,Rp 250.000,Rp 150.000
MODENA,Front Loading 1 Tabung,Rp 1.100.000,Rp 900.000,Rp 700.000
MODENA,Upper Loading 1 Tabung,Rp 350.000,Rp 250.000,Rp 150.000
SANKEN,Front Loading 1 Tabung,Rp 1.100.000,Rp 900.000,Rp 700.000
SANKEN,Upper Loading 1 Tabung,Rp 350.000,Rp 250.000,Rp 150.000
POLYTRON,Front Loading 1 Tabung,Rp 1.100.000,Rp 900.000,Rp 700.000
POLYTRON,Upper Loading 1 Tabung,Rp 350.000,Rp 250.000,Rp 150.000
TOSHIBA,1 Pintu,Non- Inverter,400.000,300.000
TOSHIBA,2 Pintu,Non- Inverter,600.000,400.000
TOSHIBA,1 Pintu,Inverter,250.000,200.000
TOSHIBA,2 Pintu,Inverter,300.000,250.000
PANASONIC,1 Pintu,Non- Inverter,400.000,300.000
PANASONIC,2 Pintu,Non- Inverter,600.000,400.000
PANASONIC,1 Pintu,Inverter,250.000,200.000
PANASONIC,2 Pintu,Inverter,300.000,250.000
MODENA,1 Pintu,Non- Inverter,400.000,300.000
MODENA,2 Pintu,Non- Inverter,600.000,400.000
MODENA,1 Pintu,Inverter,250.000,200.000
MODENA,2 Pintu,Inverter,300.000,250.000
SANKEN,1 Pintu,Non- Inverter,400.000,300.000
SANKEN,2 Pintu,Non- Inverter,600.000,400.000
SANKEN,1 Pintu,Inverter,250.000,200.000
SANKEN,2 Pintu,Inverter,300.000,250.000
POLYTRON,1 Pintu,Non- Inverter,400.000,300.000
POLYTRON,2 Pintu,Non- Inverter,600.000,400.000
POLYTRON,1 Pintu,Inverter,250.000,200.000
POLYTRON,2 Pintu,Inverter,300.000,250.000
