Brand,Ram,Jenis_Storage,Storages,Processor,Operating_System,,PriceGradeA,PriceGradeB,PriceGradeC
ASUS,4GB,SATA,750GB,Intel Core i3,Windows 7,,1.100.000,900.000,750.000
ASUS,4GB,SATA,500GB,Intel Core i3,Windows 10,,2.000.000,1.800.000,1.450.000
ASUS,2GB,SATA,500GB,Intel Celeron N3060,Windows,,1.750.000,1.400.000,1.150.000
ASUS,2GB,SATA,500GB,Intel Core i3,Windows,,1.400.000,1.150.000,900.000
ASUS,4GB,SATA,1TB,Intel Core i7,Windows,,1.600.000,1.300.000,1.050.000
ASUS,4GB,HDD,1TB,Intel Core i5,Windows 10,,3.200.000,2.800.000,2.250.000
ASUS,8GB,HDD,1TB,Intel Core i7,Windows 10,,3.500.000,3.050.000,2.450.000
ASUS,8GB,HDD,1TB,Intel Core i7,Windows 10,,5.000.000,4.100.000,3.300.000
ASUS,4GB,,1TB,Intel celeron N4000,Windows 10,,2.000.000,1.800.000,1.650.000
ASUS,8GB,SSD,512GB,Intel Core i5,Windows 10,,4.500.000,3.600.000,2.900.000
ASUS,2GB,HDD,320GB,Intel Core i5,windows 7,,1.200.000,1.000.000,900.000
ASUS,4GB,HDD,500GB,Intel Core i5,Windows 10,,1.500.000,1.300.000,1.100.000
ASUS,8GB,SSD,512GB,Intel Core i7,windows 10,,5.500.000,4.400.000,3.500.000
ASUS,4GB,HDD,1TB,Intel Core i5/i7,windows 10,,4.400.000,3.500.000,2.800.000
ASUS,4GB,SSD,512GB,Intel Core i5,windows 10,,4.000.000,3.450.000,2.750.000
ASUS,8GB,HDD,1TB,Intel Core i7,Windows 10,,3.000.000,2.400.000,1.950.000
ASUS,2GB,HDD,500GB,Intel Core i5,Windows 10,,1.700.000,1.400.000,1.100.000
Lenovo,4GB,HDD,500GB,Intel Core i3,windows 10,,2.200.000,1.800.000,1.450.000
Lenovo,16GB,,1TB,,Windows 10,,1.300.000,1.050.000,850.000
Lenovo,4GB,HDD,1TB,,Windows 10,,3.500.000,2.800.000,2.250.000
Lenovo,4GB,HDD,320GB,Intel Core i5,Windows 7,,1.850.000,1.500.000,1.200.000
Lenovo,4GB,HDD,320GB,Intel Core i5,Windows 10,,1.850.000,1.450.000,1.200.000
Lenovo,2GB,HDD,500GB,Intel Core i3,windows 10,,1.200.000,950.000,800.000
Lenovo,2GB,HDD,500GB,,Windows 10,,1.600.000,1.300.000,1.000.000
Lenovo,2GB,SATA,500GB,Intel Core i3,Windows 10,,1.250.000,1.000.000,800.000
Lenovo,4GB,HDD,320GB,Intel Core i5,Windows 10,,1.550.000,1.250.000,950.000
Lenovo,8GB,SSD,256GB,Intel Core i3,Windows 10,,3.150.000,2.500.000,2.000.000
Lenovo,2GB,SATA,500GB,Intel HM70,Windows 10,,1.150.000,900.000,700.000
Lenovo,4GB,HDD,320GB,Intel Core i7,Windows 10,,1.500.000,1.200.000,950.000
Lenovo,4GB,SATA,320GB,Intel Core i3,Windows 7,,1.350.000,1.050.000,850.000
Lenovo,4GB,HDD,500GB,,Windows 10,,2.600.000,2.100.000,1.650.000
Lenovo,4GB,,250GB,Intel Core i5,Windows 10,,1.600.000,1.250.000,1.000.000
Acer,4GB,HDD,256GB,,Windows 10,,2.500.000,2.000.000,1.600.000
Acer,4GB,,1TB,Intel Core i3,Windows 10,,2.800.000,2.250.000,1.800.000
Acer,2GB,HDD,320GB,,Windows 7,,875.000,700.000,550.000
