Brand,Ram,Jenis_Storage,Storages,Processor,Operating_System,,PriceGradeA,PriceGradeB,PriceGradeC,Action
ASUS,4GB,SATA,750GB,Intel Core i3,Windows 7,,Rp 1.100.000,Rp 900.000,Rp 750.000,
ASUS,4GB,SATA,500GB,Intel Core i3,Windows 10,,Rp 2.000.000,Rp 1.800.000,Rp 1.450.000,
ASUS,2GB,SATA,500GB,Intel Celeron N3060,Windows,,Rp 1.750.000,Rp 1.400.000,Rp 1.150.000,
ASUS,2GB,SATA,500GB,Intel Core i3,Windows,,Rp 1.400.000,Rp 1.150.000,Rp 900.000,
ASUS,4GB,SATA,1TB,Intel Core i7,Windows,,Rp 1.600.000,Rp 1.300.000,Rp 1.050.000,
ASUS,4GB,HDD,1TB,Intel Core i5,Windows 10,,Rp 3.200.000,Rp 2.800.000,Rp 2.250.000,
ASUS,8GB,HDD,1TB,Intel Core i7,Windows 10,,Rp 3.500.000,Rp 3.050.000,Rp 2.450.000,
ASUS,8GB,HDD,1TB,Intel Core i7,Windows 10,,Rp 5.000.000,Rp 4.100.000,Rp 3.300.000,
ASUS,4GB,,1TB,Intel celeron N4000,Windows 10,,Rp 2.000.000,Rp 1.800.000,Rp 1.650.000,
ASUS,8GB,SSD,512GB,Intel Core i5,Windows 10,,Rp 4.500.000,Rp 3.600.000,Rp 2.900.000,
ASUS,2GB,HDD,320GB,Intel Core i5,windows 7,,Rp 1.200.000,Rp 1.000.000,Rp 900.000,
ASUS,4GB,HDD,500GB,Intel Core i5,Windows 10,,Rp 1.500.000,Rp 1.300.000,Rp 1.100.000,
ASUS,8GB,SSD,512GB,Intel Core i7,windows 10,,Rp 5.500.000,Rp 4.400.000,Rp 3.500.000,
ASUS,4GB,HDD,1TB,Intel Core i5/i7,windows 10,,Rp 4.400.000,Rp 3.500.000,Rp 2.800.000,
ASUS,4GB,SSD,512GB,Intel Core i5,windows 10,,Rp 4.000.000,Rp 3.450.000,Rp 2.750.000,
ASUS,8GB,HDD,1TB,Intel Core i7,Windows 10,,Rp 3.000.000,Rp 2.400.000,Rp 1.950.000,
ASUS,2GB,HDD,500GB,Intel Core i5,Windows 10,,Rp 1.700.000,Rp 1.400.000,Rp 1.100.000,
Lenovo,4GB,HDD,500GB,Intel Core i3,windows 10,,Rp 2.200.000,Rp 1.800.000,Rp 1.450.000,
Lenovo,16GB,,1TB,,Windows 10,,Rp 1.300.000,Rp 1.050.000,Rp 850.000,
Lenovo,4GB,HDD,1TB,,Windows 10,,Rp 3.500.000,Rp 2.800.000,Rp 2.250.000,
Lenovo,4GB,HDD,320GB,Intel Core i5,Windows 7,,Rp 1.850.000,Rp 1.500.000,Rp 1.200.000,
Lenovo,4GB,HDD,320GB,Intel Core i5,Windows 10,,Rp 1.850.000,Rp 1.450.000,Rp 1.200.000,
Lenovo,2GB,HDD,500GB,Intel Core i3,windows 10,,Rp 1.200.000,Rp 950.000,Rp 800.000,
Lenovo,2GB,HDD,500GB,,Windows 10,,Rp 1.600.000,Rp 1.300.000,Rp 1.000.000,
Lenovo,2GB,SATA,500GB,Intel Core i3,Windows 10,,Rp 1.250.000,Rp 1.000.000,Rp 800.000,
Lenovo,4GB,HDD,320GB,Intel Core i5,Windows 10,,Rp 1.550.000,Rp 1.250.000,Rp 950.000,
Lenovo,8GB,SSD,256GB,Intel Core i3,Windows 10,,Rp 3.150.000,Rp 2.500.000,Rp 2.000.000,
Lenovo,2GB,SATA,500GB,Intel HM70,Windows 10,,Rp 1.150.000,Rp 900.000,Rp 700.000,
Lenovo,4GB,HDD,320GB,Intel Core i7,Windows 10,,Rp 1.500.000,Rp 1.200.000,Rp 950.000,
Lenovo,4GB,SATA,320GB,Intel Core i3,Windows 7,,Rp 1.350.000,Rp 1.050.000,Rp 850.000,
Lenovo,4GB,HDD,500GB,,Windows 10,,Rp 2.600.000,Rp 2.100.000,Rp 1.650.000,
Lenovo,4GB,,250GB,Intel Core i5,Windows 10,,Rp 1.600.000,Rp 1.250.000,Rp 1.000.000,
Acer,4GB,HDD,256GB,,Windows 10,,Rp 2.500.000,Rp 2.000.000,Rp 1.600.000,
Acer,4GB,,1TB,Intel Core i3,Windows 10,,Rp 2.800.000,Rp 2.250.000,Rp 1.800.000,
Acer,2GB,HDD,320GB,,Windows 7,,Rp 875.000,Rp 700.000,Rp 550.000,
Acer,4GB,HDD,500GB,,Windows 10,,Rp 1.700.000,Rp 1.350.000,Rp 1.100.000,
