brand;jenis tv;inch;Price Grade A;Price Grade B;Price Grade C;
SAMSUNG;LED;"32""inch"; 600.000 ; 500.000 ; 400.000 ; 300.000 
SAMSUNG;LED;"40""inch"; 800.000 ; 650.000 ; 550.000 ; 450.000 
SAMSUNG;LED;"42""inch"; 1.200.000 ; 1.000.000 ; 850.000 ; 700.000 
SAMSUNG;LED;"50""inch"; 1.800.000 ; 1.450.000 ; 1.150.000 ; 950.000 
SAMSUNG;LED;"55""inch"; 2.000.000 ; 1.700.000 ; 1.400.000 ; 1.150.000 
SAMSUNG;Smart TV;"32""inch"; 800.000 ; 650.000 ; 550.000 ; 450.000 
SAMSUNG;Smart TV;"40""inch"; 1.100.000 ; 900.000 ; 750.000 ; 600.000 
SAMSUNG;Smart TV;"42""inch"; 1.400.000 ; 1.150.000 ; 950.000 ; 800.000 
SAMSUNG;Smart TV;"50""inch"; 2.000.000 ; 1.600.000 ; 1.300.000 ; 1.000.000 
SAMSUNG;Smart TV;"55""inch"; 2.200.000 ; 1.850.000 ; 1.550.000 ; 1.300.000 
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
